area_mean_px,area_median_px,aspect_ratio_mean,budding_proxy_frac,cell_count,cell_density_per_Mpx,cell_gray_mean,cell_sat_mean,clustering_R,coverage_frac,ecc_mean,ecc_median,file,focus_var,fov_area_px,fov_circularity,fov_r,height,method,scale,width
477.3,473.5,1.2611,0.019,372,1281.6,122.8,118.3,1.6422,0.6117,0.5749,0.5864,IMG_5163.jpg,161.6,290273,0.975,320.6,1100,cellpose,0.688,825
401.4,393.0,1.1854,0.011,351,1193.3,122.7,112.0,1.5909,0.479,0.4975,0.5014,IMG_5164.jpg,169.5,294137,0.974,322.3,1100,cellpose,0.688,825
394.3,389.0,1.1948,0.011,350,1221.8,124.7,110.4,1.5759,0.4817,0.5039,0.5078,IMG_5165.jpg,176.9,286453,0.973,318.2,1100,cellpose,0.688,825
407.6,403.0,1.1998,0.016,428,1484.0,123.7,112.5,1.6686,0.6049,0.52,0.5294,IMG_5166.jpg,181.2,288413,0.978,319.5,1100,cellpose,0.688,825
394.2,393.0,1.1917,0.019,216,739.2,121.6,114.9,1.4168,0.2914,0.5055,0.5058,IMG_5190.jpg,146.1,292201,0.974,321.1,1100,cellpose,0.688,825
409.1,404.5,1.1937,0.008,384,1305.5,129.3,108.9,1.6332,0.5341,0.5187,0.5334,IMG_5191.jpg,161.0,294137,0.975,323.0,1100,cellpose,0.688,825
402.8,394.0,1.2127,0.009,437,1505.5,126.3,113.6,1.6896,0.6064,0.5334,0.5431,IMG_5192.jpg,178.5,290273,0.979,320.8,1100,cellpose,0.688,825
404.3,397.0,1.1717,0.014,291,989.3,123.4,114.5,1.5146,0.3999,0.4824,0.4851,IMG_5193.jpg,136.1,294137,0.977,322.7,1100,cellpose,0.688,825
398.8,389.0,1.1748,0.006,327,1126.5,125.9,111.9,1.5862,0.4493,0.4833,0.4848,IMG_5194.jpg,153.6,290273,0.975,320.9,1100,cellpose,0.688,825
446.1,441.0,1.2351,0.011,373,1285.0,125.0,120.1,1.6567,0.5733,0.5569,0.5763,IMG_5195.jpg,146.4,290273,0.974,320.7,1100,cellpose,0.688,825
416.5,410.0,1.1671,0.013,307,1050.6,124.5,112.1,1.5896,0.4376,0.4798,0.4837,IMG_5196.jpg,153.2,292201,0.976,321.1,1100,cellpose,0.688,825
412.9,401.0,1.1998,0.007,400,1378.0,123.3,120.1,1.7169,0.5689,0.5232,0.5429,IMG_5197.jpg,174.0,290273,0.978,320.6,1100,cellpose,0.688,825
401.1,398.5,1.1665,0.011,284,978.4,124.0,113.5,1.5656,0.3925,0.4744,0.4822,IMG_5198.jpg,149.8,290273,0.975,320.7,1100,cellpose,0.688,825
405.7,401.5,1.1488,0.003,338,1156.7,117.9,120.7,1.6131,0.4693,0.4592,0.4682,IMG_5199.jpg,149.5,292201,0.975,322.1,1100,cellpose,0.688,825
415.1,405.0,1.1642,0.005,395,1342.9,117.2,120.2,1.6803,0.5575,0.4772,0.4829,IMG_5200.jpg,162.5,294137,0.976,322.9,1100,cellpose,0.688,825
431.3,429.0,1.1966,0.002,444,1509.5,120.0,121.7,1.7536,0.651,0.5199,0.5342,IMG_5201.jpg,183.0,294137,0.978,322.6,1100,cellpose,0.688,825
524.4,514.0,1.2734,0.0,113,391.8,108.1,150.0,1.2389,0.2054,0.5982,0.6205,IMG_5202.jpg,90.0,288413,0.976,319.7,1100,cellpose,0.688,825
524.2,521.0,1.2744,0.0,117,411.2,109.6,148.0,1.2989,0.2155,0.5792,0.602,IMG_5203.jpg,88.1,284565,0.971,317.8,1100,cellpose,0.688,825
561.4,561.5,1.2553,0.0,98,335.4,110.6,146.9,1.2776,0.1883,0.5765,0.5917,IMG_5204.jpg,74.0,292201,0.975,321.4,1100,cellpose,0.688,825
554.9,563.0,1.2731,0.013,80,279.3,108.9,151.7,1.3052,0.155,0.5932,0.6047,IMG_5205.jpg,81.1,286453,0.979,318.5,1100,cellpose,0.688,825
535.8,515.5,1.2472,0.0,88,307.2,105.8,152.8,1.3307,0.1646,0.5683,0.572,IMG_5206.jpg,68.0,286453,0.976,318.6,1100,cellpose,0.688,825
537.3,520.5,1.25,0.0,82,280.6,105.3,152.0,1.2006,0.1508,0.5782,0.5872,IMG_5207.jpg,77.2,292201,0.979,322.1,1100,cellpose,0.688,825
526.5,500.0,1.2506,0.0,74,256.6,107.8,153.9,1.1511,0.1351,0.5696,0.5889,IMG_5208.jpg,73.4,288413,0.978,319.5,1100,cellpose,0.688,825
505.8,486.5,1.25,0.009,106,372.5,107.7,146.8,1.2821,0.1884,0.5621,0.5843,IMG_5209.jpg,72.5,284565,0.971,317.7,1100,cellpose,0.688,825
493.7,499.0,1.251,0.0,117,403.1,102.4,154.3,1.3005,0.199,0.5726,0.5854,IMG_5210.jpg,72.5,290273,0.974,320.5,1100,cellpose,0.688,825
487.4,485.0,1.2433,0.0,105,359.3,109.6,150.2,1.2045,0.1752,0.5634,0.5891,IMG_5211.jpg,79.0,292201,0.977,321.3,1100,cellpose,0.688,825
459.9,454.0,1.2108,0.0,147,509.7,111.8,142.5,1.2942,0.2344,0.5428,0.5607,IMG_5212.jpg,96.5,288413,0.981,319.6,1100,cellpose,0.688,825
462.2,464.0,1.1942,0.0,130,447.9,111.8,142.6,1.2463,0.207,0.5229,0.5281,IMG_5213.jpg,105.6,290273,0.978,320.7,1100,cellpose,0.688,825
454.0,462.5,1.1854,0.008,120,418.9,111.8,143.2,1.2507,0.1902,0.5151,0.5176,IMG_5214.jpg,88.0,286453,0.981,318.8,1100,cellpose,0.688,825
471.7,443.5,1.1393,0.0,118,411.9,115.6,135.8,1.2507,0.1943,0.4522,0.4607,IMG_5215.jpg,88.0,286453,0.982,318.3,1100,cellpose,0.688,825
420.3,420.5,1.3031,0.042,118,403.8,125.7,116.8,1.2466,0.1697,0.5576,0.5549,IMG_5216.jpg,83.3,292201,0.98,321.1,1100,cellpose,0.688,825
469.8,470.0,1.1649,0.0,93,322.5,117.4,137.9,1.1953,0.1515,0.49,0.4883,IMG_5217.jpg,90.6,288413,0.984,319.9,1100,cellpose,0.688,825
447.5,441.5,1.1327,0.008,118,403.8,119.6,131.7,1.2612,0.1807,0.4428,0.4429,IMG_5218.jpg,93.8,292201,0.981,321.1,1100,cellpose,0.688,825
498.3,481.5,1.3183,0.03,66,227.4,112.8,141.3,1.1729,0.1133,0.6091,0.6432,IMG_5252.jpg,87.8,290273,0.977,320.3,1100,cellpose,0.688,825
502.4,479.0,1.3291,0.048,62,215.0,112.2,139.9,1.1279,0.108,0.616,0.6466,IMG_5253.jpg,89.0,288413,0.978,319.2,1100,cellpose,0.688,825
408.1,398.0,1.238,0.031,131,445.4,125.0,118.3,1.2511,0.1818,0.548,0.5611,IMG_5254.jpg,126.9,294137,0.973,322.6,1100,cellpose,0.688,825
394.9,401.0,1.2342,0.022,139,478.9,121.4,119.6,1.1935,0.1891,0.5365,0.5339,IMG_5255.jpg,107.7,290273,0.972,320.7,1100,cellpose,0.688,825
429.1,425.0,1.3106,0.019,159,537.1,115.6,133.0,1.2429,0.2305,0.6006,0.6125,IMG_5256.jpg,118.9,296025,0.968,323.3,1100,cellpose,0.688,825
418.0,390.5,1.2407,0.023,130,447.9,120.1,124.4,1.1967,0.1872,0.543,0.5399,IMG_5257.jpg,119.9,290273,0.969,320.7,1100,cellpose,0.688,825
545.0,423.0,1.373,0.036,55,190.7,112.7,131.5,1.1805,0.1039,0.6202,0.6189,IMG_5258.jpg,56.2,288413,0.965,319.7,1100,cellpose,0.688,825
356.6,328.0,1.199,0.026,117,439.8,126.6,121.3,1.2093,0.1568,0.508,0.5077,IMG_5259.jpg,93.4,266025,0.979,307.0,1100,cellpose,0.688,825
358.4,332.5,1.2065,0.034,118,443.6,125.2,122.2,1.1999,0.159,0.5175,0.5,IMG_5260.jpg,92.0,266025,0.978,306.9,1100,cellpose,0.688,825
