bg_contrast,edge_density,file,focus_var,fov_area_px,mean_intensity,texture_energy,texture_occupancy
42.01,0.1231,IMG_5568.jpg,61.1,591665,148.2,25.709,0.5298
41.58,0.1122,IMG_5569.jpg,58.1,591665,140.3,24.516,0.4864
42.45,0.1187,IMG_5570.jpg,58.0,591665,139.2,25.599,0.4828
42.91,0.1416,IMG_5571.jpg,71.4,594457,147.7,26.91,0.5395
44.21,0.144,IMG_5572.jpg,68.5,588973,143.3,28.578,0.5338
43.59,0.1442,IMG_5573.jpg,76.7,591665,151.6,27.527,0.5293
42.24,0.1374,IMG_5574.jpg,66.7,591665,149.5,26.551,0.5298
44.63,0.1501,IMG_5575.jpg,73.8,594457,148.7,29.208,0.5085
42.29,0.1309,IMG_5576.jpg,65.0,591665,144.5,26.523,0.5577
43.62,0.1258,IMG_5577.jpg,62.6,591665,136.6,26.335,0.4645
46.02,0.1678,IMG_5578.jpg,72.0,594457,147.0,31.745,0.4897
44.81,0.1677,IMG_5579.jpg,79.5,591665,147.1,30.493,0.5193
44.57,0.1633,IMG_5580.jpg,75.1,591665,146.2,30.25,0.5204
44.94,0.1423,IMG_5581.jpg,76.1,591665,150.2,28.046,0.5071
43.83,0.275,IMG_5582.jpg,274.6,575449,166.9,38.589,0.6001
40.59,0.2547,IMG_5583.jpg,174.6,583485,164.6,34.593,0.5401
45.55,0.2965,IMG_5584.jpg,392.5,578153,167.1,41.421,0.6117
46.37,0.2924,IMG_5585.jpg,415.7,580833,162.0,41.736,0.6681
43.52,0.265,IMG_5586.jpg,267.0,580833,162.6,37.543,0.5992
44.4,0.2724,IMG_5587.jpg,292.9,580833,161.9,38.745,0.6095
48.5,0.298,IMG_5588.jpg,624.8,586165,163.6,44.007,0.6205
50.6,0.3206,IMG_5589.jpg,885.1,586165,164.1,47.013,0.6745
46.66,0.2901,IMG_5590.jpg,508.0,591665,162.1,41.978,0.6173
50.01,0.2958,IMG_5591.jpg,728.9,591665,164.2,45.597,0.6782
49.9,0.3031,IMG_5592.jpg,774.9,591665,165.6,45.697,0.6523
50.81,0.3145,IMG_5593.jpg,930.6,591665,167.8,47.278,0.6431
49.76,0.3376,IMG_5594.jpg,1005.2,586165,165.4,47.066,0.5924
47.45,0.265,IMG_5595.jpg,511.8,575449,169.1,41.226,0.6516
46.13,0.2598,IMG_5596.jpg,860.4,588973,166.6,40.128,0.6918
42.7,0.2686,IMG_5597.jpg,653.9,591665,164.4,37.537,0.6682
40.35,0.2632,IMG_5598.jpg,586.6,591665,165.4,35.449,0.6339
40.58,0.247,IMG_5599.jpg,710.1,591665,164.8,34.996,0.6429
39.28,0.2218,IMG_5600.jpg,650.7,594457,166.4,32.525,0.6389
39.62,0.2255,IMG_5601.jpg,606.9,591665,166.5,33.14,0.6604
40.75,0.1872,IMG_5602.jpg,508.8,597129,164.6,31.222,0.5422
42.87,0.2224,IMG_5603.jpg,759.9,602645,165.7,35.305,0.6175
41.18,0.2266,IMG_5604.jpg,743.0,597129,165.9,34.3,0.6473
46.96,0.2541,IMG_5605.jpg,724.7,586165,164.7,39.958,0.6785
47.82,0.2576,IMG_5606.jpg,777.3,588973,163.9,41.001,0.6838
48.23,0.279,IMG_5607.jpg,771.8,588973,162.6,42.31,0.6798
48.11,0.2743,IMG_5608.jpg,784.1,586165,164.4,42.064,0.6966
43.25,0.122,IMG_5609.jpg,75.5,594457,151.1,23.411,0.4438
42.7,0.12,IMG_5610.jpg,72.1,599857,149.9,23.463,0.4505
42.68,0.123,IMG_5611.jpg,72.8,597129,147.3,23.326,0.4391
40.62,0.0975,IMG_5612.jpg,63.3,594457,150.1,19.718,0.3774
38.86,0.0923,IMG_5613.jpg,68.3,597129,150.2,18.967,0.382
35.91,0.103,IMG_5614.jpg,67.1,594457,151.6,19.527,0.4098
33.77,0.0918,IMG_5615.jpg,64.6,597129,149.0,18.186,0.3903
35.45,0.0838,IMG_5616.jpg,66.4,594457,153.2,16.842,0.3217
45.7,0.1388,IMG_5617.jpg,77.7,594457,146.7,25.573,0.454
39.98,0.1046,IMG_5618.jpg,67.8,594457,151.8,20.709,0.3902
42.22,0.1134,IMG_5619.jpg,72.7,591665,148.4,21.662,0.4102
41.86,0.1129,IMG_5620.jpg,71.2,591665,148.1,21.666,0.4098
34.86,0.0787,IMG_5621.jpg,57.6,594457,143.9,18.236,0.384
34.61,0.0883,IMG_5622.jpg,63.3,594457,149.8,19.055,0.4191
38.74,0.1018,IMG_5623.jpg,68.5,588973,155.3,21.147,0.4565
40.1,0.1206,IMG_5624.jpg,72.8,588973,152.2,22.305,0.4419
35.13,0.1005,IMG_5625.jpg,66.7,588973,152.9,19.595,0.4375
32.29,0.0884,IMG_5626.jpg,67.7,594457,150.3,17.36,0.3677
36.56,0.1021,IMG_5627.jpg,68.4,594457,155.0,19.664,0.413
29.95,0.0728,IMG_5628.jpg,66.6,591665,151.5,15.017,0.3138
29.28,0.0635,IMG_5629.jpg,64.3,594457,156.9,13.574,0.2731
33.51,0.0773,IMG_5630.jpg,68.7,591665,155.0,16.157,0.3189
40.41,0.0975,IMG_5631.jpg,69.4,591665,151.7,19.486,0.3616
35.01,0.1984,IMG_5632.jpg,557.3,594457,165.4,27.965,0.5748
38.83,0.2506,IMG_5633.jpg,496.5,594457,161.8,33.535,0.6261
44.68,0.2615,IMG_5634.jpg,558.5,594457,160.9,38.828,0.666
42.0,0.2546,IMG_5635.jpg,587.9,594457,161.9,36.153,0.6439
29.29,0.1672,IMG_5636.jpg,255.5,599857,161.6,22.154,0.5429
26.1,0.1609,IMG_5637.jpg,155.7,599857,160.6,19.559,0.5219
26.68,0.1575,IMG_5638.jpg,174.9,599857,160.9,19.716,0.5288
32.77,0.1368,IMG_5639.jpg,343.2,602645,162.5,23.107,0.4139
31.1,0.1765,IMG_5640.jpg,339.1,599857,161.0,23.724,0.5279
34.15,0.2104,IMG_5641.jpg,371.3,594457,161.3,27.977,0.626
36.91,0.26,IMG_5642.jpg,385.9,597129,160.7,32.269,0.5862
40.79,0.253,IMG_5643.jpg,214.4,594457,159.3,34.644,0.55
41.51,0.2839,IMG_5644.jpg,542.4,597129,162.7,37.359,0.6328
31.02,0.1229,IMG_5645.jpg,295.3,599857,162.9,20.148,0.3782
31.67,0.1237,IMG_5646.jpg,170.1,599857,163.9,19.989,0.4481
32.48,0.121,IMG_5647.jpg,294.6,597129,164.8,20.765,0.3922
32.54,0.1207,IMG_5648.jpg,322.0,599857,165.4,20.611,0.3905
32.35,0.1234,IMG_5649.jpg,275.4,599857,163.9,21.174,0.3836
31.14,0.1281,IMG_5650.jpg,162.7,599857,163.3,20.126,0.4292
33.58,0.1368,IMG_5651.jpg,185.9,599857,163.6,22.151,0.4717
33.95,0.1698,IMG_5652.jpg,158.1,599857,161.5,23.302,0.5037
36.42,0.1822,IMG_5653.jpg,259.4,599857,160.5,26.333,0.4777
29.07,0.1198,IMG_5654.jpg,330.7,599857,162.8,19.002,0.3881
33.97,0.1505,IMG_5655.jpg,276.6,599857,161.5,23.5,0.4375
37.17,0.1894,IMG_5657.jpg,574.1,608189,179.2,29.422,0.5473
36.3,0.0939,IMG_5658.jpg,63.0,608189,160.8,19.486,0.4019
36.63,0.0959,IMG_5659.jpg,59.0,608189,162.4,20.191,0.4235
33.57,0.0797,IMG_5660.jpg,70.5,608189,166.3,16.859,0.3365
40.81,0.0869,IMG_5661.jpg,68.5,608189,165.8,20.218,0.3703
39.03,0.0839,IMG_5662.jpg,80.4,610937,166.4,19.399,0.3717
36.93,0.0925,IMG_5663.jpg,74.1,608189,163.2,18.74,0.3445
40.53,0.0992,IMG_5664.jpg,87.2,608189,161.8,20.46,0.3703
34.6,0.0895,IMG_5665.jpg,81.3,608189,164.2,18.065,0.3518
34.07,0.0802,IMG_5666.jpg,61.6,605381,162.5,16.922,0.348
