area_mean_px,area_median_px,budding_proxy_frac,cell_count,cell_density_per_Mpx,cell_gray_mean,cell_sat_mean,clustering_R,coverage_frac,file,focus_var,fov_area_px,fov_circularity,fov_r,height,method,scale,width
491.9,494.0,0.023,44,154.6,128.2,129.8,0.985,0.0761,IMG_5349.jpg,82.9,284565,0.97,316.9,1100,cellpose,0.688,825
572.4,566.0,0.0,48,169.8,124.0,132.3,1.1257,0.0972,IMG_5350.jpg,91.4,282697,0.982,315.9,1100,cellpose,0.688,825
623.5,659.0,0.0,35,122.2,129.3,129.3,1.1441,0.0762,IMG_5351.jpg,103.6,286453,0.978,318.0,1100,cellpose,0.688,825
601.3,610.0,0.0,32,113.2,131.0,120.4,1.1227,0.0681,IMG_5352.jpg,94.4,282697,0.984,316.5,1100,cellpose,0.688,825
626.0,663.0,0.0,23,80.8,133.9,115.6,1.3712,0.0506,IMG_5353.jpg,92.4,284565,0.978,317.3,1100,cellpose,0.688,825
416.9,416.0,0.0,39,138.9,142.3,99.5,1.0222,0.0579,IMG_5354.jpg,108.3,280817,0.987,315.7,1100,cellpose,0.688,825
353.9,319.5,0.0,36,126.5,146.2,94.1,0.8501,0.0448,IMG_5355.jpg,99.7,284565,0.985,317.4,1100,cellpose,0.688,825
517.3,518.5,0.0,26,90.8,144.4,96.1,1.1256,0.047,IMG_5356.jpg,91.1,286453,0.986,318.5,1100,cellpose,0.688,825
556.3,566.0,0.0,51,181.6,109.3,151.2,1.0592,0.101,IMG_5376.jpg,88.7,280817,0.985,315.5,1100,cellpose,0.688,825
542.8,567.0,0.02,50,179.2,110.2,150.6,1.0412,0.0973,IMG_5377.jpg,75.3,278985,0.983,314.2,1100,cellpose,0.688,825
399.0,362.0,0.071,85,302.7,125.7,117.0,1.0649,0.1208,IMG_5378.jpg,80.8,280817,0.982,315.6,1100,cellpose,0.688,825
429.0,432.0,0.029,103,366.8,123.8,117.4,1.1296,0.1573,IMG_5379.jpg,99.2,280817,0.982,314.9,1100,cellpose,0.688,825
416.2,422.0,0.017,117,419.4,115.4,127.7,1.2166,0.1745,IMG_5380.jpg,98.7,278985,0.981,314.5,1100,cellpose,0.688,825
441.9,435.0,0.0,115,409.5,121.9,117.9,1.2199,0.181,IMG_5381.jpg,107.4,280817,0.982,315.3,1100,cellpose,0.688,825
433.0,435.0,0.018,109,383.0,116.9,122.9,1.2562,0.1659,IMG_5382.jpg,87.5,284565,0.982,317.1,1100,cellpose,0.688,825
418.0,429.0,0.016,127,452.3,117.7,122.4,1.2329,0.1891,IMG_5383.jpg,90.1,280817,0.978,315.5,1100,cellpose,0.688,825
458.4,462.0,0.0,109,388.2,112.6,133.7,1.1806,0.1779,IMG_5384.jpg,96.3,280817,0.978,315.5,1100,cellpose,0.688,825
453.6,448.5,0.0,128,449.8,113.4,133.8,1.2836,0.204,IMG_5385.jpg,100.1,284565,0.98,317.0,1100,cellpose,0.688,825
432.0,432.0,0.0,143,505.8,112.5,134.2,1.2658,0.2185,IMG_5386.jpg,114.7,282697,0.979,316.7,1100,cellpose,0.688,825
425.8,429.5,0.014,142,499.0,113.8,129.2,1.2165,0.2125,IMG_5387.jpg,108.5,284565,0.979,317.1,1100,cellpose,0.688,825
427.3,426.5,0.013,80,281.1,131.2,105.8,1.2133,0.1201,IMG_5388.jpg,81.5,284565,0.982,317.3,1100,cellpose,0.688,825
408.8,415.0,0.028,72,253.0,135.4,99.4,0.9879,0.1034,IMG_5389.jpg,74.2,284565,0.983,317.3,1100,cellpose,0.688,825
417.7,423.0,0.0,73,256.5,121.1,129.4,1.102,0.1072,IMG_5390.jpg,73.6,284565,0.978,317.5,1100,cellpose,0.688,825
482.0,485.0,0.0,83,295.6,117.5,143.8,1.1296,0.1425,IMG_5391.jpg,80.6,280817,0.976,315.4,1100,cellpose,0.688,825
472.3,471.0,0.0,93,326.8,117.2,141.5,1.1388,0.1544,IMG_5392.jpg,96.9,284565,0.979,317.9,1100,cellpose,0.688,825
438.8,419.5,0.0,64,229.4,125.3,130.6,1.0503,0.1007,IMG_5393.jpg,76.0,278985,0.985,314.5,1100,cellpose,0.688,825
354.4,324.0,0.071,84,299.1,131.2,111.9,0.9832,0.106,IMG_5394.jpg,83.3,280817,0.982,315.1,1100,cellpose,0.688,825
393.5,394.5,0.031,64,227.9,131.8,106.5,1.0555,0.0897,IMG_5395.jpg,79.8,280817,0.981,315.3,1100,cellpose,0.688,825
403.9,414.0,0.015,67,237.0,132.2,103.5,1.1662,0.0957,IMG_5396.jpg,74.8,282697,0.983,316.4,1100,cellpose,0.688,825
452.6,465.0,0.041,73,256.5,121.8,117.7,1.2287,0.1161,IMG_5397.jpg,90.8,284565,0.979,317.1,1100,cellpose,0.688,825
479.9,455.0,0.0,71,251.2,111.8,144.4,1.1778,0.1205,IMG_5398.jpg,88.8,282697,0.977,316.8,1100,cellpose,0.688,825
450.3,466.5,0.009,106,372.5,128.7,106.3,1.2241,0.1678,IMG_5399.jpg,104.3,284565,0.983,317.0,1100,cellpose,0.688,825
447.5,459.5,0.009,106,372.5,129.3,106.3,1.199,0.1667,IMG_5400.jpg,101.4,284565,0.98,316.9,1100,cellpose,0.688,825
433.7,434.0,0.044,91,317.7,126.1,108.6,1.0637,0.1378,IMG_5401.jpg,97.4,286453,0.98,317.9,1100,cellpose,0.688,825
393.6,404.0,0.02,98,392.4,136.9,105.0,1.2141,0.1544,IMG_5402.jpg,60.1,249773,0.983,297.5,1100,cellpose,0.688,825
433.9,426.0,0.011,180,628.4,125.8,121.9,1.2537,0.2726,IMG_5403.jpg,120.4,286453,0.976,318.6,1100,cellpose,0.688,825
446.9,456.0,0.043,115,404.1,133.2,103.5,1.2458,0.1806,IMG_5404.jpg,112.3,284565,0.98,317.6,1100,cellpose,0.688,825
444.2,449.0,0.007,139,491.7,134.1,103.0,1.3603,0.2184,IMG_5405.jpg,107.3,282697,0.982,316.6,1100,cellpose,0.688,825
355.6,312.0,0.037,82,288.2,136.4,104.7,0.9992,0.1025,IMG_5406.jpg,97.9,284565,0.983,317.7,1100,cellpose,0.688,825
